Month,Nb Rabbit Total,Nb Adults Male,Nb Adults Female,Nb Young Rabbit Male,Nb Young Rabbit Female,Nb Litters,Nb Fibonacci Total
0,24,0,0,10,14,0,1
1,24,0,0,10,14,0,1
2,24,0,0,10,14,0,2
3,24,0,0,10,14,0,3
4,24,0,0,10,14,0,5
5,17,0,0,8,9,0,8
6,13,1,0,6,6,0,13
7,11,2,1,4,4,9,21
8,10,2,1,3,4,9,34
9,7,3,1,2,1,6,55
10,7,3,1,2,1,6,89
11,7,3,1,2,1,6,144
12,13,3,1,5,4,22,233
13,13,3,1,5,4,22,377
14,12,3,1,5,3,22,610
15,14,3,1,4,6,19,987
16,14,3,1,4,6,19,1597
17,18,3,1,9,5,14,2584
18,21,3,1,12,5,8,4181
19,25,3,1,14,7,4,6765
20,24,3,1,13,7,4,10946
21,25,3,1,13,8,0,17711
22,24,3,2,12,7,9,28657
23,26,3,2,11,10,4,46368
24,20,2,1,9,8,4,75025
25,17,2,1,8,6,4,121393
26,17,2,1,8,6,0,196418
27,17,3,3,6,5,20,317811
28,15,3,3,5,4,20,514229
29,26,3,3,12,8,29,832040
30,33,3,3,15,12,47,1346269
31,36,3,3,17,13,44,2178309
32,46,3,4,21,18,37,3524578
33,59,3,5,28,23,65,5702887
34,61,3,5,29,24,60,9227465
35,62,4,5,29,24,67,14930352
36,75,3,5,33,34,48,24157817
37,80,3,5,35,37,41,39088169
38,82,3,5,38,36,54,63245986
39,87,6,5,42,34,44,102334155
40,92,6,5,46,35,34,165580141
41,88,9,5,43,31,34,267914296
42,86,8,6,40,32,29,433494437
43,90,10,8,42,30,41,701408733
44,82,11,9,38,24,74,1134903170
45,97,12,12,36,37,124,1836311903
46,103,12,14,36,41,120,2971215073
47,120,13,15,40,52,125,4807526976
48,139,13,16,46,64,201,7778742049
49,162,15,17,48,82,218,12586269025
50,188,17,16,64,91,234,20365011074
51,221,20,16,81,104,210,32951280099
52,223,22,19,81,101,252,53316291173
53,262,23,20,98,121,212,86267571272
54,288,23,22,116,127,212,139583862445
55,316,26,24,127,139,236,225851433717
56,343,27,26,137,153,216,365435296162
57,367,35,25,149,158,195,591286729879
58,404,38,28,164,174,193,956722026041
59,406,39,31,157,179,296,1548008755920
60,410,43,38,155,174,376,2504730781961
61,439,44,42,166,187,417,4052739537881
62,498,50,48,192,208,493,6557470319842
63,539,52,48,220,219,567,10610209857723
64,588,56,51,247,234,580,17167680177565
65,650,61,58,278,253,627,27777890035288
66,737,64,68,309,296,746,44945570212853
67,809,72,72,332,333,789,72723460248141
68,920,79,82,383,376,961,117669030460994
69,1058,80,85,433,460,910,190392490709135
70,1164,92,97,480,495,1014,308061521170129
71,1264,103,107,520,534,1096,498454011879264
72,1354,111,114,552,577,1094,806515533049393
73,1488,121,125,609,633,1189,1304969544928657
74,1643,128,134,680,701,1387,2111485077978050
75,1807,142,148,767,750,1568,3416454622906707
76,1950,162,166,813,809,1713,5527939700884757
77,2121,181,190,873,877,1926,8944394323791464
78,2328,206,209,987,926,2091,14472334024676221
79,2566,227,226,1074,1039,2146,23416728348467685
80,2767,243,245,1145,1134,2537,37889062373143906
81,3095,264,278,1271,1282,2921,61305790721611591
82,3464,294,313,1410,1447,3112,99194853094755497
83,3854,320,338,1582,1614,3408,160500643816367088
84,4268,358,371,1748,1791,3722,259695496911122585
85,4739,394,412,1933,2000,4078,420196140727489673
86,5191,428,444,2107,2212,4726,679891637638612258
87,5664,480,481,2328,2375,5441,1100087778366101931
88,6269,525,535,2605,2604,5763,1779979416004714189
89,6804,565,591,2833,2815,6208,2880067194370816120
90,7496,615,662,3079,3140,6964,4660046610375530309
91,8355,681,727,3452,3495,7319,7540113804746346429
92,9205,744,796,3810,3855,8066,-6246583658587674878
93,10162,803,882,4232,4245,9059,1293530146158671551
94,11335,883,967,4719,4766,9633,-4953053512429003327
95,12394,976,1050,5134,5234,10679,-3659523366270331776
96,13662,1073,1146,5694,5749,11741,-8612576878699335103
97,14812,1171,1292,6125,6224,13157,6174643828739884737
98,16228,1299,1430,6682,6817,14481,-2437933049959450366
99,17782,1448,1554,7343,7437,15861,3736710778780434371
100,19608,1614,1696,8111,8187,17883,1298777728820984005
101,21689,1800,1872,9017,9000,19091,5035488507601418376
102,23997,1964,2074,10012,9947,20916,6334266236422402381
103,26294,2164,2291,10936,10903,23300,-7076989329685730859
104,29260,2414,2500,12221,12125,25458,-742723093263328478
105,31963,2619,2726,13354,13264,28171,-7819712422949059337
106,35030,2897,2995,14625,14513,31056,-8562435516212387815
107,38252,3214,3279,15970,15789,33577,2064596134548104464
108,42033,3543,3640,17500,17350,37455,-6497839381664283351
109,45978,3901,4013,19148,18916,40701,-4433243247116178887
110,50314,4326,4418,20901,20669,44953,7515661444929089378
111,55387,4757,4861,22965,22804,49735,3082418197812910491
112,61115,5229,5252,25400,25234,53733,-7848664430967551747
113,67636,5756,5760,28044,28076,58517,-4766246233154641256
114,74603,6326,6329,30857,31091,64720,5831833409587358613
115,81821,6954,6960,33793,34114,71483,1065587176432717357
116,89192,7600,7643,36811,37138,80442,6897420586020075970
117,97823,8362,8388,40344,40729,87328,7963007762452793327
118,107381,9151,9175,44323,44732,94593,-3586315725236682319
119,117906,10043,10154,48663,49046,103703,4376692037216111008
120,129544,11078,11194,53455,53817,113879,790376311979428689
121,142489,12240,12298,58873,59078,124157,5167068349195539697
122,156547,13514,13467,64712,64854,137154,5957444661174968386
123,172033,14821,14789,71236,71187,150299,-7322231063339043533
124,189052,16212,16182,78464,78194,165626,-1364786402164075147
125,207485,17713,17718,86178,85876,183274,-8687017465503118680
126,227535,19476,19509,94321,94229,201037,8394940206042357789
127,249802,21499,21472,103713,103118,220002,-292077259460760891
128,274393,23471,23588,113858,113476,241618,8102862946581596898
129,300625,25853,25961,124455,124356,264616,7810785687120836007
130,329901,28349,28525,136598,136429,291522,-2533095440007118711
131,363013,31164,31388,150229,150232,321368,5277690247113717296
132,399270,34195,34577,165109,165389,352501,2744594807106598585
133,438256,37563,37967,181072,181654,386219,8022285054220315881
134,481929,41147,41529,199405,199848,425161,-7679864212382637150
135,529329,45177,45609,219019,219524,468869,342420841837678731
136,581018,49560,50031,240661,240766,515298,-7337443370544958419
137,638288,54511,54738,264300,264739,562213,-6995022528707279688
138,700224,59864,60013,290111,290236,615099,4114278174457313509
139,767749,65870,65938,317970,317971,676921,-2880744354249966179
140,842859,72277,72515,349004,349063,743324,1233533820207347330
141,924996,79258,79836,382927,382975,814066,-1647210534042618849
142,1014924,87121,87701,420204,419898,893571,-413676713835271519
143,1115056,95709,96224,461846,461277,982317,-2060887247877890368
144,1225960,105023,105689,507718,507530,1077877,-2474563961713161887
145,1345543,115496,116052,557314,556681,1182503,-4535451209591052255
146,1477293,126760,127324,612142,611067,1302067,-7010015171304214142
147,1621758,139291,139610,671516,671341,1428681,6901277692814285219
148,1780719,152862,152988,737375,737494,1569794,-108737478489928923
